index,user,status,source,title,year,URL
1,Brandy,Remove,Book,Principal component analysis and randomness tests for big data analysis,2018,"https://uwf-flvc.primo.exlibrisgroup.com/discovery/fulldisplay?docid=cdi_econis_primary_843846208&context=PC&vid=01FALSC_UWF:UWF&lang=en&search_scope=MyInst_and_CI2&adaptor=Primo%20Central&tab=Everything&query=any,contains,Principal%20component%20analysis%20and%20randomness%20tests%20for%20big%20data%20analysis&offset=0&pcAvailability=true"
2,Brandy,Keep,Book,Applied multivariate statistical analysis and related topics with R,2021,https://ebookcentral.proquest.com/lib/uwf/detail.action?docID=6522893&pq-origsite=primo
3,,,Article / Journal,Permutation methods for factor analysis and PCA,2020,"https://uwf-flvc.primo.exlibrisgroup.com/discovery/fulldisplay?docid=cdi_webofscience_primary_000573211900012CitationCount&context=PC&vid=01FALSC_UWF:UWF&lang=en&search_scope=MyInst_and_CI2&adaptor=Primo%20Central&tab=Everything&query=any,contains,Permutation%20methods%20for%20factor%20analysis%20and%20PCA&pfilter=rtype,exact,articles&offset=0&pcAvailability=false"
4,,,Article / Journal,Functional principal component analysis estimator for non-Gaussian data,2022,"https://uwf-flvc.primo.exlibrisgroup.com/discovery/fulldisplay?docid=cdi_informaworld_taylorfrancis_310_1080_00949655_2022_2048302&context=PC&vid=01FALSC_UWF:UWF&lang=en&search_scope=MyInst_and_CI2&adaptor=Primo%20Central&tab=Everything&query=any,contains,Functional%20principal%20component%20analysis%20estimator%20for%20non-Gaussian%20data&pfilter=rtype,exact,articles&offset=0&pcAvailability=true"
5,,,Article / Journal,Cluster-scaled principal component analysis,2022,"https://uwf-flvc.primo.exlibrisgroup.com/discovery/fulldisplay?docid=cdi_informaworld_taylorfrancis_310_1080_00949655_2022_2048302&context=PC&vid=01FALSC_UWF:UWF&lang=en&search_scope=MyInst_and_CI2&adaptor=Primo%20Central&tab=Everything&query=any,contains,Functional%20principal%20component%20analysis%20estimator%20for%20non-Gaussian%20data&pfilter=rtype,exact,articles&offset=0&pcAvailability=true"
6,,,Article / Journal,Targeted principal components regression,2022,"https://uwf-flvc.primo.exlibrisgroup.com/discovery/fulldisplay?docid=cdi_gale_infotracacademiconefile_A704411835&context=PC&vid=01FALSC_UWF:UWF&lang=en&search_scope=MyInst_and_CI2&adaptor=Primo%20Central&tab=Everything&query=any,contains,Targeted%20principal%20components%20regression&pfilter=rtype,exact,articles&offset=0&pcAvailability=true"
7,,,Article / Journal,The fixed effects PCA model in a common principal component environment,2022,"https://uwf-flvc.primo.exlibrisgroup.com/discovery/fulldisplay?docid=cdi_crossref_primary_10_1080_03610926_2020_1765255&context=PC&vid=01FALSC_UWF:UWF&lang=en&search_scope=MyInst_and_CI2&adaptor=Primo%20Central&tab=Everything&query=any,contains,The%20fixed%20effects%20PCA%20model%20in%20a%20common%20principal%20component%20environment&offset=0&pcAvailability=true"
8,,,Article / Journal,Labor market resource allocation optimization based on principal component analysis,2022,"https://uwf-flvc.primo.exlibrisgroup.com/discovery/fulldisplay?docid=cdi_doaj_primary_oai_doaj_org_article_88f7907964ff44f49eaf34636c120c42&context=PC&vid=01FALSC_UWF:UWF&lang=en&search_scope=MyInst_and_CI2&adaptor=Primo%20Central&tab=Everything&query=any,contains,Labor%20market%20resource%20allocation%20optimization%20based%20on%20principal%20component&offset=0&pcAvailability=true"
9,,,Article / Journal,On robustness of principal component regression,2021,"https://uwf-flvc.primo.exlibrisgroup.com/discovery/fulldisplay?docid=cdi_crossref_citationtrail_10_1080_01621459_2021_1928513&context=PC&vid=01FALSC_UWF:UWF&lang=en&search_scope=MyInst_and_CI2&adaptor=Primo%20Central&tab=Everything&query=any,contains,On%20robustness%20of%20principal%20component%20regression&offset=0&pcAvailability=true"
10,,,Article / Journal,"Clustering by principal component analysis with Gaussian kernel in high-dimension, low-sample-size settings",2021,"https://uwf-flvc.primo.exlibrisgroup.com/discovery/fulldisplay?docid=cdi_gale_infotracacademiconefile_A670260183&context=PC&vid=01FALSC_UWF:UWF&lang=en&search_scope=MyInst_and_CI2&adaptor=Primo%20Central&tab=Everything&query=any,contains,Clustering%20by%20principal%20component%20analysis%20with%20Gaussian%20kernel%20in%20high-dimension,%20low-sample-size%20settings&offset=0&pcAvailability=true"
